Name of Position,Name of Organisation,No. of Open Positions,Interest,Postal Code,Language Requirement,Age Range,Skills Requirement
Volunteer Nutrition,Women Empowerment League,1,Youth Development,311778,"['English', 'Hindi', 'Tamil']",19-39,"['Teaching', 'First-Aid']"
Volunteer Teaching,Women Empowerment League,3,Mental Health,436760,"['Bengali', 'Tamil', 'French']",22-38,"['Counseling', 'Fieldwork']"
Volunteer Marketing,Green Future Foundation,2,Mental Health,358215,"['Telugu', 'Hindi', 'Marathi']",21-49,"['Hardware Repair', 'Plumbing', 'Back-end Programming']"
Volunteer Advocacy,Green Future Foundation,2,Mental Health,775712,['Marathi'],24-31,"['Nursing', 'Marketing', 'Writing']"
Volunteer Accounting,Health First Initiative,1,Refugee Assistance,583857,"['English', 'Telugu', 'Bengali']",23-48,"['Cooking', 'Marketing', 'Software Development']"
Volunteer Graphic Design,Human Rights Watchers,3,Youth Development,605115,"['English', 'Bengali', 'French']",23-40,"['Fundraising', 'Counseling']"
Volunteer Lobbying,Animal Rescue Corps,3,Housing,739537,"['Marathi', 'English', 'Bengali']",26-59,['Accounting']
Volunteer Software Development,Child Care Movement,1,Animal Welfare,405546,['English'],23-33,"['Nursing', 'Computing']"
Volunteer Counseling,Human Rights Watchers,2,Sports and Recreation,891198,"['Marathi', 'Hindi', 'Telugu']",21-52,"['Hardware Repair', 'Translation', 'Lobbying']"
Volunteer Computing,Cultural Heritage Society,4,Women's Empowerment,556087,['English'],22-59,"['Graphic Design', 'Counseling', 'Software Development']"
Volunteer Computing,Disaster Aid Network,1,Disaster Relief,125413,"['Marathi', 'French', 'Telugu']",24-44,"['Web Programming', 'Babysitting', 'Nursing']"
Volunteer Lobbying,Child Care Movement,2,Arts and Culture,869290,"['Bengali', 'Tamil', 'Marathi']",20-40,"['Cooking', 'Advocacy']"
Volunteer Photography,Green Future Foundation,2,Health Initiatives,895990,"['Telugu', 'Hindi', 'Tamil']",18-46,"['Writing', 'Nutrition']"
Volunteer Software Development,Disaster Aid Network,5,Sports and Recreation,266155,['Hindi'],19-45,"['Babysitting', 'Photography']"
Volunteer First-Aid,Health First Initiative,1,Senior Citizen Support,262448,['English'],22-34,['Counseling']
Volunteer Accounting,Cultural Heritage Society,3,Sports and Recreation,222495,"['Marathi', 'French']",22-46,"['Web Programming', 'Lobbying']"
Volunteer Web Programming,Animal Rescue Corps,2,Sports and Recreation,359139,['Telugu'],27-31,"['Translation', 'Writing']"
Volunteer Writing,Animal Rescue Corps,5,Senior Citizen Support,371005,"['Telugu', 'Bengali', 'Tamil']",22-40,"['Translation', 'Fundraising']"
Volunteer Marketing,Disaster Aid Network,3,Refugee Assistance,390470,"['Hindi', 'Bengali', 'Tamil']",20-42,"['Writing', 'Fieldwork']"
Volunteer Driving,Education Bridge,5,Children's Education,174900,['Tamil'],23-49,"['Teaching', 'Babysitting']"
Volunteer Photography,Green Future Foundation,5,Mental Health,715608,['Marathi'],19-59,['Back-end Programming']
Volunteer Accounting,Health First Initiative,5,Refugee Assistance,410637,"['English', 'Tamil']",25-32,['Fundraising']
Volunteer Logistics,Women Empowerment League,1,Human Rights,168462,"['French', 'Bengali', 'Marathi']",25-51,['Photography']
Volunteer Editing,Child Care Movement,4,Housing,976599,"['Tamil', 'French', 'Bengali']",23-43,['Photography']
Volunteer Back-end Programming,Health First Initiative,1,Sports and Recreation,438094,"['French', 'Marathi']",28-47,"['Graphic Design', 'Counseling']"
Volunteer Photography,Disaster Aid Network,3,Housing,423464,"['Hindi', 'Telugu', 'French']",25-49,"['Plumbing', 'Teaching', 'Nursing']"
Volunteer Counseling,Health First Initiative,3,Health Initiatives,763077,"['Marathi', 'Telugu']",27-60,['Photography']
Volunteer Nursing,Human Rights Watchers,1,Child Welfare,364924,['Bengali'],30-57,"['Babysitting', 'Writing', 'Fieldwork']"
Volunteer Babysitting,Food Security Alliance,5,Refugee Assistance,315313,"['Telugu', 'Hindi']",27-57,"['Veterinary', 'Counseling']"
Volunteer Veterinary,Animal Rescue Corps,3,Arts and Culture,836168,"['Tamil', 'French', 'Telugu']",19-33,"['Writing', 'Counseling']"
Volunteer Marketing,Disaster Aid Network,1,Human Rights,513257,"['Marathi', 'Hindi']",27-54,"['Fundraising', 'Babysitting', 'Marketing']"
Volunteer Marketing,Disaster Aid Network,1,Senior Citizen Support,781523,"['Marathi', 'French', 'Hindi']",27-55,"['Fundraising', 'Veterinary']"
Volunteer Accounting,Animal Rescue Corps,1,Sports and Recreation,289957,"['Hindi', 'Marathi', 'Telugu']",27-33,"['Lobbying', 'Photography', 'Plumbing']"
Volunteer Hardware Repair,Women Empowerment League,4,Children's Education,319244,['Marathi'],26-46,['Editing']
Volunteer Accounting,Education Bridge,4,Women's Empowerment,275597,['French'],21-39,"['Photography', 'Marketing']"
Volunteer Software Development,Child Care Movement,3,Women's Empowerment,270171,['Marathi'],19-41,"['Computing', 'Advocacy']"
Volunteer Cooking,Food Security Alliance,3,Refugee Assistance,132931,"['English', 'Hindi']",25-47,['Marketing']
Volunteer Writing,Education Bridge,3,Animal Welfare,390448,"['Telugu', 'Hindi', 'French']",25-41,['Nursing']
Volunteer Photography,Women Empowerment League,5,Human Rights,244360,"['Marathi', 'English', 'Hindi']",29-52,"['Cooking', 'Nutrition', 'Accounting']"
Volunteer Veterinary,Human Rights Watchers,4,Child Welfare,558843,['Marathi'],22-44,"['Logistics', 'First-Aid']"
Volunteer Driving,Disaster Aid Network,5,Child Welfare,954206,"['French', 'Hindi']",22-50,"['Accounting', 'Veterinary', 'Nutrition']"
Volunteer Teaching,Child Care Movement,1,Sports and Recreation,151706,"['Hindi', 'Bengali']",28-43,['Marketing']
Volunteer Writing,Animal Rescue Corps,2,Food Security,350269,"['Marathi', 'French']",23-50,"['Marketing', 'Back-end Programming']"
Volunteer Advocacy,Green Future Foundation,3,Women's Empowerment,563511,"['English', 'Tamil']",19-33,"['Software Development', 'Plumbing', 'Teaching']"
Volunteer Teaching,Food Security Alliance,1,Sports and Recreation,387609,['French'],25-58,['Driving']
Volunteer Back-end Programming,Cultural Heritage Society,5,Arts and Culture,272993,"['Tamil', 'Marathi', 'French']",27-47,['Writing']
Volunteer Graphic Design,Child Care Movement,3,Senior Citizen Support,735869,"['Telugu', 'Bengali']",21-47,"['Photography', 'Advocacy']"
Volunteer Hardware Repair,Child Care Movement,2,Animal Welfare,327458,['Bengali'],25-51,"['Fundraising', 'Graphic Design', 'Back-end Programming']"
Volunteer Cooking,Green Future Foundation,5,Human Rights,668797,"['Bengali', 'Tamil']",27-34,"['Driving', 'Fundraising']"
Volunteer Logistics,Green Future Foundation,4,Women's Empowerment,489436,['Marathi'],18-50,"['Fundraising', 'Translation']"
